IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
222.132.174.54,18-01-21 23:21,2.044,山东泰安,HTTPS,8118
1.194.116.69,18-01-21 23:16,6.526,河南平顶山,HTTP,33291
223.241.78.69,18-01-22 06:22,2.911,安徽芜湖,HTTPS,8010
27.213.107.44,18-01-22 06:13,0.087,山东烟台,HTTPS,8118
114.243.67.243,18-01-22 06:13,0.136,北京,HTTP,8118
49.77.210.188,18-01-22 06:11,1.911,江苏,HTTPS,20934
106.112.168.39,18-01-22 06:03,0.284,河北,HTTPS,808
60.213.115.138,18-01-22 06:00,4.108,山东临沂,HTTPS,8118
115.46.89.191,18-01-21 23:16,4.898,广西南宁,HTTP,8123
113.8.111.248,18-01-21 23:16,1.139,黑龙江,HTTP,80
60.167.21.159,18-01-21 23:15,1.239,安徽芜湖,HTTP,24159
180.122.150.244,18-01-21 23:15,1.482,江苏泰州,HTTP,46865
122.225.17.123,18-01-21 23:11,0.211,浙江嘉兴,HTTP,8080
123.163.129.232,18-01-22 06:00,1.445,河南三门峡,HTTPS,808
59.53.147.170,18-01-22 05:52,1.652,江西南昌,HTTPS,808
175.8.63.91,18-01-22 05:50,0.147,湖南,HTTPS,8118
110.72.35.126,18-01-21 23:00,5.437,广西贵港,HTTP,8123
42.49.119.94,18-01-21 22:59,1.831,湖南,HTTP,8118
125.115.130.126,18-01-21 22:50,0.605,浙江宁波,HTTPS,8118
118.114.77.47,18-01-21 22:46,3.136,四川成都,HTTP,8080
113.67.166.190,18-01-21 22:44,0.49,广东广州,HTTPS,8118
114.99.26.131,18-01-21 22:44,1.957,安徽安庆,HTTPS,8010
223.241.116.51,18-01-21 22:31,5.406,安徽,HTTP,8010
110.189.207.72,18-01-22 05:45,3.694,四川德阳,HTTPS,38545
123.185.128.246,18-01-22 05:33,0.682,辽宁大连,HTTPS,8118
223.241.118.142,18-01-22 05:33,2.319,安徽,HTTPS,8010
49.73.233.127,18-01-22 05:32,0.143,江苏苏州,HTTPS,8118
124.72.109.183,18-01-22 05:30,5.063,福建泉州,HTTP,8118
118.254.148.43,18-01-21 22:30,0.241,湖南衡阳,HTTP,3128
222.76.187.21,18-01-21 22:23,3.269,福建厦门,HTTPS,8118
27.153.128.218,18-01-21 22:22,1.297,福建莆田,HTTPS,22547
110.72.43.104,18-01-21 22:22,0.287,广西贵港,HTTPS,8123
110.72.33.145,18-01-21 22:22,2.2,广西贵港,HTTP,8123
125.79.71.77,18-01-21 22:22,0.263,福建龙岩,HTTPS,42356
59.173.55.5,18-01-22 05:04,0.11,湖北武汉,HTTP,8118
